s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2540733E-004, 5.3002309E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2540680E-004, 0.0000000E+000, 0.0000000E+000
 1.0206208E-001, 1.3711964E+000, 2.7253476E-003,-1.0046588E-002, 2.3061543E-002, 1.2930855E-003, 0.0000000E+000, 0.0000000E+000, 9.6156604E-003, 1.3882298E+000, 1.4609437E-004, 1.4609437E-004
 1.5309311E-001, 1.5320523E-005, 2.4098348E-003, 1.3789995E-001, 4.0885883E-002, 3.9969778E-003, 0.0000000E+000, 0.0000000E+000, 2.6827612E+000, 1.8520797E-001, 2.9068133E-004, 2.9068133E-004
 2.0412415E-001, 3.2586762E+001,-2.0240399E-001, 3.6061059E-001, 6.3718407E-002, 5.7367250E-003, 0.0000000E+000, 0.0000000E+000, 2.0607772E-001, 3.2814424E+001, 3.8526225E-004, 3.8526225E-004
 2.5515518E-001, 6.0733406E+000,-2.0525520E+000, 4.4110769E-001,-1.1651553E-001, 1.9280163E-002, 0.0000000E+000, 0.0000000E+000, 3.2495126E+001, 4.3646609E+000, 4.7792108E-004, 4.7792108E-004
 3.0618623E-001, 3.8409544E+001,-3.2100599E+000, 2.7347475E-001,-1.1802025E-001, 1.5353451E-002, 0.0000000E+000, 0.0000000E+000, 4.3584573E+000, 3.5370292E+001, 5.6824967E-004, 5.6824967E-004
 3.9984822E-001, 1.1074130E+001,-1.3623697E+001, 3.1541989E-002,-5.1518253E-001, 3.2529538E-002, 0.0000000E+000, 0.0000000E+000, 1.3373664E+001,-3.0006774E+000, 6.8816015E-004, 6.8816015E-004
 4.4674230E-001, 2.3696230E+000,-3.9442700E+000,-3.1207578E-001,-3.5292849E-001, 4.4187356E-002, 0.0000000E+000, 0.0000000E+000, 7.6779645E+000,-2.1954638E+000, 8.0218655E-004, 8.0218655E-004
 4.9777332E-001, 1.7774799E+001,-2.5007081E+000, 6.5899307E-001,-2.0779565E-001, 4.7914191E-002, 0.0000000E+000, 0.0000000E+000,-1.7723992E+000, 1.5773202E+001, 8.8092214E-004, 8.8092214E-004
 5.4880434E-001, 2.3571148E+001,-8.9971814E+000, 1.7398514E-001,-3.8576600E-001, 6.3486761E-002, 0.0000000E+000, 0.0000000E+000, 1.5307605E+001, 1.4425673E+001, 9.5604625E-004, 9.5604625E-004
 6.3048220E-001, 3.7526600E+001,-1.6273056E+001, 6.0983096E-001,-5.7276531E-001, 7.0978286E-002, 0.0000000E+000, 0.0000000E+000, 1.7806305E+001, 2.1361588E+001, 1.0411901E-003, 1.0411901E-003
 6.6145182E-001, 4.8593271E+001,-2.3196944E+001, 9.0491061E-001,-7.9361451E-001, 8.0011016E-002, 0.0000000E+000, 0.0000000E+000, 2.0794597E+001, 2.5587635E+001, 1.1085648E-003, 1.1085648E-003
 7.3890662E-001, 5.2894525E+001,-2.6437522E+001, 6.7698322E-001,-1.0231849E+000, 9.0504826E-002, 0.0000000E+000, 0.0000000E+000, 2.5398359E+001, 2.6201307E+001, 1.1721314E-003, 1.1721314E-003
 7.8025907E-001, 5.2559175E+001,-2.2060255E+001, 7.9212331E-001,-1.1424652E+000, 1.0112353E-001, 0.0000000E+000, 0.0000000E+000, 2.8564029E+001, 3.0249702E+001, 1.2378084E-003, 1.2378084E-003
 8.5790873E-001, 5.6269122E+001,-1.9531881E+001, 8.6602535E-001,-1.1018934E+000, 1.1289732E-001, 0.0000000E+000, 0.0000000E+000, 3.4328842E+001, 3.6614270E+001, 1.3005397E-003, 1.3005397E-003
 9.1614592E-001, 6.2115613E+001,-1.8884887E+001, 1.2398149E+000,-9.5169342E-001, 1.2966281E-001, 0.0000000E+000, 0.0000000E+000, 4.1464637E+001, 4.3648510E+001, 1.3674410E-003, 1.3674410E-003
 9.6646833E-001, 6.4687663E+001,-2.0543346E+001, 1.1701433E+000,-8.2321199E-001, 1.4646164E-001, 0.0000000E+000, 0.0000000E+000, 4.4857795E+001, 4.4637710E+001, 1.4152141E-003, 1.4152141E-003
 1.0315745E+000, 6.5808093E+001,-2.1440239E+001, 1.1260603E+000,-7.3262354E-001, 1.6449418E-001, 0.0000000E+000, 0.0000000E+000, 4.4861965E+001, 4.4925784E+001, 1.4628819E-003, 1.4628819E-003
 1.0907093E+000, 6.4225259E+001,-2.1494206E+001, 1.2125916E+000,-6.6808802E-001, 1.8131296E-001, 0.0000000E+000, 0.0000000E+000, 4.3701088E+001, 4.3456870E+001, 1.5094462E-003, 1.5094462E-003
 1.1450043E+000, 6.1433189E+001,-2.0028268E+001, 1.1883223E+000,-6.3187288E-001, 1.9244843E-001, 0.0000000E+000, 0.0000000E+000, 4.2492382E+001, 4.2153819E+001, 1.5483103E-003, 1.5483103E-003
 1.2092955E+000, 6.2106806E+001,-2.0623228E+001, 1.1280099E+000,-6.9047166E-001, 2.0122576E-001, 0.0000000E+000, 0.0000000E+000, 4.2050573E+001, 4.2122342E+001, 1.5853486E-003, 1.5853486E-003
 1.2636958E+000, 6.1329513E+001,-2.0451020E+001, 1.1704287E+000,-7.5153423E-001, 2.1153456E-001, 0.0000000E+000, 0.0000000E+000, 4.1329930E+001, 4.1508922E+001, 1.6194947E-003, 1.6194947E-003
 1.3217212E+000, 6.4001933E+001,-2.0714459E+001, 1.1739502E+000,-7.2214874E-001, 2.2352450E-001, 0.0000000E+000, 0.0000000E+000, 4.3235649E+001, 4.3962800E+001, 1.6481535E-003, 1.6481535E-003
 1.3800288E+000, 6.7587942E+001,-2.2535323E+001, 1.2366740E+000,-6.4335834E-001, 2.3651765E-001, 0.0000000E+000, 0.0000000E+000, 4.5903482E+001, 4.5882452E+001, 1.6749989E-003, 1.6749989E-003
 1.4422821E+000, 6.8005733E+001,-2.2242873E+001, 1.1755219E+000,-5.9621824E-001, 2.4678077E-001, 0.0000000E+000, 0.0000000E+000, 4.6180025E+001, 4.6588944E+001, 1.7004104E-003, 1.7004104E-003
 1.5035529E+000, 8.3357989E+001,-2.6656632E+001, 1.4953962E+000,-6.8449246E-001, 2.4593093E-001, 0.0000000E+000, 0.0000000E+000, 5.6180031E+001, 5.7758192E+001, 1.7237280E-003, 1.7237280E-003
 1.5646904E+000, 1.0047903E+002,-3.3437627E+001, 1.6622352E+000,-8.6127691E-001, 2.3557981E-001, 0.0000000E+000, 0.0000000E+000, 6.7233984E+001, 6.8077940E+001, 1.7444943E-003, 1.7444943E-003
 1.6255677E+000, 1.0238239E+002,-3.3865662E+001, 1.7236611E+000,-9.6653483E-001, 2.3622029E-001, 0.0000000E+000, 0.0000000E+000, 6.9879426E+001, 6.9510074E+001, 1.7630347E-003, 1.7630347E-003
