,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-02-19T11:46:40.705-05:00,   0.102E+00,   0.10206,   3.25000
      2,2021-02-19T11:46:40.861-05:00,   0.102E+00,   0.20412,   3.37500
      3,2021-02-19T11:46:40.995-05:00,   0.102E+00,   0.30619,   3.46875
      4,2021-02-19T11:46:41.195-05:00,   0.102E+00,   0.40825,   3.62500
      5,2021-02-19T11:46:41.380-05:00,   0.102E+00,   0.51031,   3.75000
      6,2021-02-19T11:46:41.567-05:00,   0.102E+00,   0.61237,   3.89062
      7,2021-02-19T11:46:41.783-05:00,   0.213E-01,   0.63367,   4.10938
      8,2021-02-19T11:46:41.927-05:00,   0.234E-01,   0.65709,   4.26562
      9,2021-02-19T11:46:42.141-05:00,   0.258E-01,   0.68286,   4.42188
     10,2021-02-19T11:46:42.309-05:00,   0.283E-01,   0.71121,   4.59375
     20,2021-02-19T11:46:43.948-05:00,   0.273E-01,   1.06321,   6.03125
     30,2021-02-19T11:46:45.418-05:00,   0.167E-01,   1.26726,   7.34375
     40,2021-02-19T11:46:46.762-05:00,   0.150E-01,   1.41691,   8.59375
     50,2021-02-19T11:46:48.005-05:00,   0.150E-01,   1.56657,   9.75000
     60,2021-02-19T11:46:49.209-05:00,   0.150E-01,   1.71623,  10.85938
     70,2021-02-19T11:46:50.506-05:00,   0.150E-01,   1.86589,  12.01562
     80,2021-02-19T11:46:51.716-05:00,   0.150E-01,   2.01554,  13.12500
     90,2021-02-19T11:46:52.986-05:00,   0.150E-01,   2.16520,  14.25000
    100,2021-02-19T11:46:54.221-05:00,   0.165E-01,   2.32234,  15.40625
    200,2021-02-19T11:47:07.202-05:00,   0.146E-01,   4.03413,  27.17188
    300,2021-02-19T11:47:20.312-05:00,   0.165E-01,   5.58645,  39.25000
    400,2021-02-19T11:47:33.519-05:00,   0.149E-01,   7.21361,  51.37500
    500,2021-02-19T11:47:46.987-05:00,   0.154E-01,   8.81290,  63.78125
    600,2021-02-19T11:47:59.931-05:00,   0.181E-01,  10.40988,  75.68750
    700,2021-02-19T11:48:13.155-05:00,   0.179E-01,  12.17718,  87.85938
    800,2021-02-19T11:48:26.454-05:00,   0.137E-01,  13.89908, 100.03125
    900,2021-02-19T11:48:40.853-05:00,   0.159E-01,  15.49970, 112.85938
   1000,2021-02-19T11:48:54.430-05:00,   0.174E-01,  17.09733, 125.28125
   1100,2021-02-19T11:49:08.224-05:00,   0.184E-01,  18.73866, 137.76562
   1200,2021-02-19T11:49:22.190-05:00,   0.151E-01,  20.50993, 150.45312
   1300,2021-02-19T11:49:36.625-05:00,   0.164E-01,  22.17596, 163.50000
   1400,2021-02-19T11:49:50.141-05:00,   0.149E-01,  23.72700, 175.87500
   1500,2021-02-19T11:50:03.813-05:00,   0.179E-01,  25.33118, 188.32812
   1600,2021-02-19T11:50:17.654-05:00,   0.156E-01,  26.94068, 201.15625
   1700,2021-02-19T11:50:31.459-05:00,   0.160E-01,  28.59942, 213.68750
   1800,2021-02-19T11:50:44.748-05:00,   0.162E-01,  30.26638, 225.81250
   1900,2021-02-19T11:50:57.465-05:00,   0.146E-01,  31.80626, 237.45312
   2000,2021-02-19T11:51:10.319-05:00,   0.166E-01,  33.36902, 249.23438
   2100,2021-02-19T11:51:22.922-05:00,   0.166E-01,  34.95005, 260.84375
   2200,2021-02-19T11:51:35.778-05:00,   0.183E-01,  36.70503, 272.75000
   2300,2021-02-19T11:51:48.973-05:00,   0.186E-01,  38.41622, 284.90625
   2400,2021-02-19T11:52:02.660-05:00,   0.175E-01,  40.20697, 297.42188
   2500,2021-02-19T11:52:16.994-05:00,   0.183E-01,  41.90965, 310.40625
   2600,2021-02-19T11:52:30.240-05:00,   0.170E-01,  43.63147, 322.35938
   2700,2021-02-19T11:52:43.321-05:00,   0.178E-01,  45.33251, 334.32812
   2800,2021-02-19T11:52:56.254-05:00,   0.173E-01,  47.01588, 346.21875
   2900,2021-02-19T11:53:09.248-05:00,   0.171E-01,  48.70389, 358.18750
   3000,2021-02-19T11:53:22.007-05:00,   0.182E-01,  50.36784, 369.98438
   3100,2021-02-19T11:53:35.277-05:00,   0.164E-01,  52.02128, 382.25000
   3200,2021-02-19T11:53:48.317-05:00,   0.171E-01,  53.67026, 394.29688
   3300,2021-02-19T11:54:01.163-05:00,   0.169E-01,  55.33613, 406.00000
   3400,2021-02-19T11:54:13.988-05:00,   0.199E-01,  57.03236, 417.82812
   3500,2021-02-19T11:54:26.822-05:00,   0.150E-01,  58.66712, 429.62500
   3584,2021-02-19T11:54:38.115-05:00,   0.138E-01,  60.00000, 439.98438
