s,C
Time,"HD"
 0.0000000E+000, 2.0000000E+001
 2.0412415E-001, 2.0000000E+001
 4.0824829E-001, 2.0000000E+001
 6.1237244E-001, 2.0000000E+001
 8.1649658E-001, 2.0000000E+001
 8.7545641E-001, 2.0000000E+001
 9.4031222E-001, 2.0000000E+001
 1.0116536E+000, 2.0000000E+001
 1.0735547E+000, 2.0000000E+001
 1.1262264E+000, 2.0000000E+001
 1.1788982E+000, 2.0000000E+001
 1.2315700E+000, 2.0000000E+001
 1.2895089E+000, 2.0000000E+001
 1.3532418E+000, 2.0000000E+001
 1.4169746E+000, 2.0000001E+001
 1.4807074E+000, 2.0000001E+001
 1.5307180E+000, 2.0000001E+001
 1.5807285E+000, 2.0000001E+001
 1.6307391E+000, 2.0000001E+001
 1.6756657E+000, 2.0000001E+001
 1.7205923E+000, 2.0000001E+001
 1.7655190E+000, 2.0000002E+001
 1.8104456E+000, 2.0000002E+001
 1.8553722E+000, 2.0000002E+001
 1.9002988E+000, 2.0000002E+001
 1.9452255E+000, 2.0000003E+001
 1.9856486E+000, 2.0000003E+001
 2.0260717E+000, 2.0000003E+001
 2.0664948E+000, 2.0000003E+001
 2.1069179E+000, 2.0000004E+001
 2.1473410E+000, 2.0000004E+001
 2.1877641E+000, 2.0000004E+001
 2.2281872E+000, 2.0000004E+001
 2.2686103E+000, 2.0000005E+001
 2.3090334E+000, 2.0000005E+001
 2.3494565E+000, 2.0000005E+001
 2.3939219E+000, 2.0000006E+001
 2.4383874E+000, 2.0000006E+001
 2.4828528E+000, 2.0000006E+001
 2.5273182E+000, 2.0000007E+001
 2.5717836E+000, 2.0000007E+001
 2.6162490E+000, 2.0000008E+001
 2.6607145E+000, 2.0000008E+001
 2.7051799E+000, 2.0000009E+001
 2.7496453E+000, 2.0000009E+001
 2.7941107E+000, 2.0000009E+001
 2.8385761E+000, 2.0000010E+001
 2.8830415E+000, 2.0000010E+001
 2.9275070E+000, 2.0000011E+001
 2.9719724E+000, 2.0000011E+001
 3.0164378E+000, 2.0000012E+001
 3.0609032E+000, 2.0000012E+001
 3.1498340E+000, 2.0000013E+001
 3.1942995E+000, 2.0000014E+001
 3.2432114E+000, 2.0000015E+001
 3.3410353E+000, 2.0000016E+001
 3.3899473E+000, 2.0000017E+001
 3.4388593E+000, 2.0000018E+001
 3.4877712E+000, 2.0000018E+001
 3.5855951E+000, 2.0000020E+001
 3.6345071E+000, 2.0000021E+001
 3.6834190E+000, 2.0000022E+001
 3.7323310E+000, 2.0000022E+001
 3.7812430E+000, 2.0000023E+001
 3.8790669E+000, 2.0000025E+001
 3.9279788E+000, 2.0000026E+001
 3.9768908E+000, 2.0000027E+001
 4.0258028E+000, 2.0000028E+001
 4.1334091E+000, 2.0000029E+001
 4.1872122E+000, 2.0000031E+001
 4.2410154E+000, 2.0000032E+001
 4.2948185E+000, 2.0000033E+001
 4.3486217E+000, 2.0000034E+001
 4.4024248E+000, 2.0000036E+001
 4.4562280E+000, 2.0000037E+001
 4.5100312E+000, 2.0000038E+001
 4.5638343E+000, 2.0000039E+001
 4.6714406E+000, 2.0000041E+001
 4.7252438E+000, 2.0000043E+001
 4.7790469E+000, 2.0000045E+001
 4.8328501E+000, 2.0000046E+001
 4.8866532E+000, 2.0000048E+001
 4.9404564E+000, 2.0000049E+001
 4.9942595E+000, 2.0000051E+001
 5.0480627E+000, 2.0000053E+001
 5.1018659E+000, 2.0000054E+001
 5.2094722E+000, 2.0000057E+001
 5.2632753E+000, 2.0000060E+001
 5.3170785E+000, 2.0000062E+001
 5.3708816E+000, 2.0000064E+001
 5.4246848E+000, 2.0000066E+001
 5.4784879E+000, 2.0000068E+001
 5.5322911E+000, 2.0000070E+001
 5.5860942E+000, 2.0000072E+001
 5.6937006E+000, 2.0000075E+001
 5.7475037E+000, 2.0000078E+001
 5.8013069E+000, 2.0000080E+001
 5.8551100E+000, 2.0000083E+001
 5.9089132E+000, 2.0000085E+001
 5.9627163E+000, 2.0000088E+001
 6.0165195E+000, 2.0000090E+001
 6.0703226E+000, 2.0000093E+001
 6.1241258E+000, 2.0000096E+001
 6.2317321E+000, 2.0000101E+001
 6.2855353E+000, 2.0000106E+001
 6.3393384E+000, 2.0000109E+001
 6.3874467E+000, 2.0000113E+001
 6.4355551E+000, 2.0000116E+001
 6.4836634E+000, 2.0000119E+001
 6.5732255E+000, 2.0000125E+001
 6.6146793E+000, 2.0000130E+001
 6.7017322E+000, 2.0000135E+001
 6.7473314E+000, 2.0000142E+001
 6.7929305E+000, 2.0000146E+001
 6.8841289E+000, 2.0000158E+001
 6.9297280E+000, 2.0000186E+001
 6.9753272E+000, 2.0000260E+001
 7.0209263E+000, 2.0000459E+001
 7.1121247E+000, 2.0001637E+001
 7.1577238E+000, 2.0005060E+001
 7.2033230E+000, 2.0010088E+001
 7.2945213E+000, 2.0024091E+001
 7.3446804E+000, 2.0048567E+001
 7.3948395E+000, 2.0072921E+001
 7.4449985E+000, 2.0102703E+001
 7.5453167E+000, 2.0155121E+001
 7.5954758E+000, 2.0212598E+001
 7.6456349E+000, 2.0252509E+001
 7.6957939E+000, 2.0292802E+001
 7.7459530E+000, 2.0332802E+001
 7.8462712E+000, 2.0392010E+001
 7.8964302E+000, 2.0450756E+001
 7.9465893E+000, 2.0490199E+001
 7.9967484E+000, 2.0530472E+001
 8.0469075E+000, 2.0572155E+001
 8.1472256E+000, 2.0638697E+001
 8.1973847E+000, 2.0710755E+001
 8.2475438E+000, 2.0763046E+001
 8.2977029E+000, 2.0818597E+001
 8.3478619E+000, 2.0876972E+001
 8.4481801E+000, 2.0968425E+001
 8.4983392E+000, 2.1062412E+001
