s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.9524829E-017, 4.2668222E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2668221E-009, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 8.6887338E+001, 8.1712081E-012, 1.4411183E+000, 0.0000000E+000,-6.2838740E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4906274E-002, 8.8322172E+001, 7.0054119E-003, 7.0054119E-003
 1.5811388E-001, 2.8778955E+002,-6.2563187E+000, 8.9765265E+000, 2.1856559E-001, 1.4755594E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5962926E+001, 2.9220388E+002, 1.3924159E-002, 1.3924159E-002
 1.7908148E-001, 4.3650192E+002,-6.2996672E+001, 6.6856393E+000, 2.1856559E-001, 2.7030743E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8470515E+002, 3.8311253E+002, 1.5734017E-002, 1.5734017E-002
 2.0004909E-001, 4.2117241E+002,-4.6156962E+002, 2.8779166E+001,-1.7194905E+000, 3.4870677E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7359261E+002,-9.8504695E+000, 1.7530478E-002, 1.7530478E-002
 2.1368098E-001, 4.4496255E+002,-2.7902387E+002, 1.4071210E+001,-2.4079880E+000, 4.0677083E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2397991E+001, 1.8166961E+002, 1.8690574E-002, 1.8690574E-002
 2.2731288E-001, 3.8717017E+002,-3.2916377E+002, 2.1021250E+001,-9.8339041E-001, 6.5211702E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8118510E+002, 8.4565438E+001, 1.9844032E-002, 1.9844032E-002
 2.4230798E-001, 2.5002479E+002,-1.6059228E+002, 2.0048215E+001,-1.3025195E+000, 6.5785341E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3441328E+001, 1.1475675E+002, 2.1104730E-002, 2.1104730E-002
 2.5880256E-001, 1.7018357E+002,-8.3423426E+001, 2.4922574E+001,-6.5819180E-001, 8.1969761E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1510173E+002, 1.1922150E+002, 2.2481138E-002, 2.2481138E-002
